sku,name,url,price,img_url,description,allegens,weight,cals,fat_level,sat_level,sugar_level,salt_level,rating,Energy,Fat,Saturates,Mono_unsaturates,Polyunsaturates,Carbohydrate,Sugars,Starch,Fibre,Protein,Salt
8166928,Dairylea Dunkers Jumbo Tubes Cheese Snacks 41g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/dairylea-dunkers-jumbo-tubes-cheese-snacks-41g,1.30,https://assets.sainsburys-groceries.co.uk/gol/8166928/1/640x640.jpg,Cheese dip (7 % fat) with added Calcium and Corn & Potato Snack (29 %).,,41,98,,,,,4.5,,,,,,,,,,,
8115063,Fridge Raiders Slow Roasted Chicken Bites Meal Deal 45g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/fridge-raiders-slow-roasted-chicken-bites-meal-deal-50g,1.30,https://assets.sainsburys-groceries.co.uk/gol/8115063/1/640x640.jpg,Roast flavour chopped and shaped chicken breast.,,45,95,,,,,4.5,,,,,,,,,,,
8053880,Sainsbury's Carrot & Houmous 100g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-carrot-houmous-100g,1.30,https://assets.sainsburys-groceries.co.uk/gol/8053880/1/640x640.jpg,"Carrot with cooked chickpeas, sesame seed paste, concentrated lemon juice and garlic purée",{'Sesame'},100,92,MEDIUM,LOW,LOW,MEDIUM,4.4,92,5.6,0.6,2.8,2,6.3,3.1,,3,2.6,0.37
8182578,Lindahls High Protein Strawberry Sundae Pro + Kvarg 150g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/lindahls-strawberry-sundae-pro-kvarg-150g,1.40,https://assets.sainsburys-groceries.co.uk/gol/8182578/1/640x640.jpg,Fat Free Quark with Strawberry Flavour and Sweeteners,,150,92,,,,,4.5,,,,,,,,,,,
7614744,Sainsbury's Dried Apricots 40g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-apricots-40g,0.80,https://assets.sainsburys-groceries.co.uk/gol/7614744/1/640x640.jpg,Partially Rehydrated Dried Apricot,"{' Sulphur Dioxide', 'bold'}",40,91,LOW,LOW,HIGH,LOW,4,91,0.5,0.1,0.1,0.1,19.7,14.6,5.1,3.8,1.1,0.01
7851927,Sainsbury's Trio Of Olives 60g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-trio-of-olives-60g,1.30,https://assets.sainsburys-groceries.co.uk/gol/7851927/1/640x640.jpg,"Pimento stuffed olives, pitted black and pitted green olives in a parsley dressing",,60,90,MEDIUM,MEDIUM,LOW,HIGH,4.5,90,8.9,1.4,6.1,1,1.1,0.5,,1.3,0.7,1.8
7197580,Marmite Rice Cakes 25g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/marmite-rice-cakes-25g,1.00,https://assets.sainsburys-groceries.co.uk/gol/7197580/1/640x640.jpg,Mini Rice Cakes with Marmite Yeast Extract,,25,88,,,,,3,,,,,,,,,,,
7809060,Sainsbury's Food To Go Mango 25g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-food-to-go-mango-25g,0.80,https://assets.sainsburys-groceries.co.uk/gol/7809060/1/640x640.jpg,Dried Sweetened Mango,{'Sulphites'},25,84,LOW,LOW,HIGH,LOW,5,84,0.5,0.1,,,19.6,15.5,,1.2,0.5,0.07
8105838,Sainsbury's Apple & Grape 130g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-apple-grape-130g,1.35,https://assets.sainsburys-groceries.co.uk/gol/8105838/1/640x640.jpg,Apple and grape,,130,81,LOW,LOW,MEDIUM,LOW,4.6,81,0.5,0.1,,,17.9,17.9,0.5,3,0.5,0.01
8178043,Sainsbury's Pineapple & Mango 160g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-pineapple-mango-160g,1.35,https://assets.sainsburys-groceries.co.uk/gol/8178043/1/640x640.jpg,Pineapple and mango,,160,80,LOW,LOW,MEDIUM,LOW,3.9,80,0.5,0.1,,,17.4,17.3,0.5,1.9,1,0.01
8119462,Sainsbury's On the Go Pineapple 160g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-on-the-go-pineapple-160g,1.35,https://assets.sainsburys-groceries.co.uk/gol/8119462/1/640x640.jpg,Pineapple chunks,{'\xa0'},160,73,LOW,LOW,MEDIUM,LOW,4.4,73,0.5,0.1,,,15.6,15.6,,2.6,0.6,0.01
7992360,"Sainsbury's On the Go Apple, Grape & Strawberry 135g",https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-ftg-apple-grape-strawberry-135g,1.35,https://assets.sainsburys-groceries.co.uk/gol/7992360/1/640x640.jpg,"Apple, grape and strawberry",,135,54,LOW,LOW,MEDIUM,LOW,4.4,54,0.5,0.1,,,11.6,11.6,0.5,1,0.6,0.01
8119458,Sainsbury's On the Go Watermelon 160g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-on-the-go-watermelon-160g,1.35,https://assets.sainsburys-groceries.co.uk/gol/8119458/1/640x640.jpg,Watermelon chunks,,160,51,LOW,LOW,MEDIUM,LOW,4.9,51,0.5,0.2,,,10.9,10.9,,0.5,0.7,0.01
8119464,Sainsbury's On the Go Melon Medley 160g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-on-the-go-melon-medley-160g,1.35,https://assets.sainsburys-groceries.co.uk/gol/8119464/1/640x640.jpg,Melon,,160,49,LOW,LOW,MEDIUM,LOW,4.6,49,0.5,0.1,,,10.6,10.6,,1,1,0.13
8046901,Batchelors Big Super Noodles Pot Chicken Flavour 100g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/batchelors-big-super-noodles-chicken-flavour-100g,1.20,https://assets.sainsburys-groceries.co.uk/gol/8046901/1/640x640.jpg,Dried noodles in a chicken flavour seasoning with peas and sweetcorn.,,100,469,MEDIUM,HIGH,LOW,HIGH,3.5,,,,,,,,,,,
8175171,Sainsbury's Mini Pork Pies x2 100g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-mini-pork-pies-x2-100g,1.30,https://assets.sainsburys-groceries.co.uk/gol/8175171/1/640x640.jpg,Seasoned cured pork baked in pastry,"{'Egg', 'Wheat'}",100,380,HIGH,HIGH,LOW,MEDIUM,4.2,380,24.3,9.6,10,3.5,30.3,1.4,28.9,1.6,9.3,0.87
8046912,"Batchelors Big Pasta 'n' Sauce, Cheese & Broccoli 85g",https://www.sainsburys.co.uk/shop/gb/groceries/product/details/batchelors-big-pasta-sauce-cheese-broccoli-85g,1.20,https://assets.sainsburys-groceries.co.uk/gol/8046912/1/640x640.jpg,Dried pasta spirals in a mild cheese sauce mix with broccoli pieces and onion.,,85,324,LOW,LOW,LOW,HIGH,4.2,,,,,,,,,,,
8172326,Sainsbury's Sausage Roll 90g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-sausage-roll-90g,1.30,https://assets.sainsburys-groceries.co.uk/gol/8172326/1/640x640.jpg,Seasoned British pork sausagemeat wrapped in puff pastry,"{'Wheat', 'Milk'}",90,284,MEDIUM,HIGH,LOW,MEDIUM,3.6,284,15.4,6.7,5.8,2.1,27.6,2,25.6,1.7,7.9,0.88
8056842,Sainsbury's On the Go Scotch Egg 113g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-on-the-go-scotch-egg-113g,1.30,https://assets.sainsburys-groceries.co.uk/gol/8056842/1/640x640.jpg,British pork sausagemeat filled with a whole egg and coated in breadcrumbs,"{'Wheat', 'Egg'}",113,281,MEDIUM,MEDIUM,LOW,MEDIUM,4.5,281,18.2,5.4,8.6,3.3,16.3,0.9,15.4,1.2,12.3,0.77
