name,price,url
Diet Coke 500ml,£1.75,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/coca-cola--diet-500ml
Arctic Rainforest Alliance Arabica Bean Coffee Cafe Latte To Go 330ml,£1.15,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/arctic-fairtrade-arabica-bean-coffee-cafe-latte-to-go-330ml
Starbucks Chocolate Mocha Frappuccino Flavoured Milk Iced Coffee 250ml,£2.20,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/starbucks-mocha-frappucino-250ml
Starbucks DoubleShot Espresso Iced Coffee 200ml,£1.25,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/starbucks-doubleshot-200ml
Pepsi Max No Sugar Cola Bottle 500ml,£1.90,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/pepsi-max-600ml
Coca-Cola Original Taste 500ml,£1.95,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/coca-cola-500ml
Evian Natural Bottled Mineral Still Water 750ml,£1.65,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/evian-natural-mineral-water-750ml-sports-cap-
Müller Frijj Fudge Brownie Flavour Milkshake 330ml,£1.50,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/frijj-chocolate-fudge-flavoured-milk-400ml
Coca-Cola Zero Sugar 500ml,£1.75,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/coke-zero-500ml
Up & Go Breakfast Drink Chocolate 300ml,£1.25,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/up---go-nutritious-breakfast-drink-chocolate-250ml
Lipton Ice Tea Peach Flavoured Still Soft Drink 500ml,£1.85,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/lipton-ice-tea-peach-500ml
Ribena Blackcurrant Juice Drink No Added Sugar 500ml,£1.55,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/ribena-blackcurrant-light-500ml
Highland Spring Still Water Sports Cap 750ml,£1.10,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/highland-spring-still-mineral-water-75cl
Fanta Orange 500mL,£1.80,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/fanta-orange-sparkling-drink-500ml
Arctic Rainforest Alliance Roasted Arabica Bean Coffee Caramel Latte 330ml,£1.15,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/arctic-fairtrade-roasted-arabica-bean-coffee-caramel-latte-330ml
"innocent Mangoes, Passion Fruits & Apples Smoothie 250ml",£2.00,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/innocent-smoothie--mango---passion-fruit-250ml
Pepsi Max Cherry No Sugar Cola Bottle 500ml,£1.90,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/pepsi-max-cherry-600ml
innocent Strawberries & Bananas Smoothie 250ml,£2.00,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/innocent-smoothie--strawberry---banana-250ml
Lucozade Energy Drink Original 500ml,£1.85,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/lucozade-energy-original-500ml
Tropicana Pure Smooth Orange Fruit Juice 300ml,£1.90,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/tropicana-smooth-orange-300ml
Up & Go Breakfast Drink Strawberry 300ml,£1.25,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/up---go-nutritious-breakfast-drink-strawberry-250ml
Ribena Blackcurrant Juice Drink 500ml,£1.55,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/ribena-blackcurrant-500ml
Oasis Summer Fruits 500ml,£1.95,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/oasis-summer-fruits-500ml
Mars Chocolate Milk Shake Drink No Added Sugar 400ml,£1.60,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/mars-sportscap-400ml
Dr Pepper 500ml,£1.75,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/dr-pepper-500ml
Copella Cloudy Apple Fruit Juice 300ml,£1.85,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/copella-apple-300ml
Diet Coke 330ml,£1.10,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/diet-coke-330ml
Lucozade Energy Drink Orange 500ml,£1.85,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/lucozade-energy-orange-500ml
Ufit Chocolate Flavour High Protein Milkshake 330ml,£2.00,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/ufit-high-protein-shake-drink-chocolate-330ml
Up & Go Breakfast Shake Banana & Honey 300ml,£1.25,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/up-go-banana-honey-330ml
Lucozade Sport Drink Orange 500ml,£1.85,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/lucozade-sport-still-glucose-drink--orange-500ml
Diet Pepsi Cola Bottle 500ml,£1.90,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/diet-pepsi-600ml
Evian Natural Bottled Mineral Still Water 500ml,£1.30,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/evian-mineral-water-500ml
San Pellegrino Sparkling Natural Mineral Water Bottle 500ml,£1.40,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/san-pellegrino-500ml
Monster Energy Drink 500ml,£1.95,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/monster-energy-500ml
Volvic Touch of Fruit Strawberry Flavoured Water 750ml,£1.80,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/volvic-favoured-mineral-water--touch-of-strawberry-750ml
innocent Juicy Water Lemon & Lime 420ml,£1.70,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/this-water-lemons---limes-420ml
Vit Hit Lean & Green Apple + Elderflower + Mate Tea + L-Carnitine 500ml,£1.70,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/vit-hit-lean-green-apple-elderflower-mate-tea-l-carnitine-500ml
Sprite 500ml,£1.90,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sprite-sparkling-lemon---lime-drink-500ml
Purdey's Rejuvenate Natural Energy Drink 330ml,£1.70,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/purdeys-rejuvenate-multivitamin-fruit-drink-330ml
7UP Zero Sugar Lemon & Lime Bottle 500ml,£1.90,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/7up-free-600ml-7268601-p-44
Red Bull Energy Drink 250ml,£1.90,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/red-bull-energy-250ml
Tropicana Multivitamin Boost Fruit Juice 300ml,£1.90,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/tropicana-multivitamins-300ml
Fanta Fruit Twist 500ml,£1.80,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/fanta-fruit-twist-drink-500ml
Red Bull Energy Drink Sugar Free 250ml,£1.65,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/red-bull-sugarfree--energy-drink-250ml--4130819-p
Relentless Origin Energy Drink 500ml,£1.00,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/relentless-origin-energy-drink-500ml
Tropicana Pure Orange Fruit Juice with Bits 300ml,£1.90,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/tropicana-original-300ml
Red Bull Energy Drink 473ml,£2.80,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/red-bull-energy-drink-473ml
Monster Energy Drink Ultra 500ml,£1.90,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/monster-energy-ultra-sugar-free-500ml
innocent Juicy Water with Bubbles Lemon & Lime 330ml,£1.80,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/innocent-bubbles-lemon--lime---apple-330ml
innocent Energise Strawberry & Cherry Super Smoothie with Vitamins 300ml,£2.50,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/innocent-energise-super-smoothie-300ml
Robinsons Ready to Drink Raspberry & Apple Juice Drink 500ml,£1.55,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/robinsons-ready-to-drink-raspberry-apple-juice-drink-500ml
Monster Energy Pipeline Punch 500ml,£1.95,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/monster-energy-pipeline-punch-500ml
Coca-Cola Cherry 500ml,£1.95,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cherry-coke-500ml
Starbucks Grande Caffe Latte Iced Coffee Drink 330ml,£2.80,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/starbucks-grande-caffe-latte-iced-coffee-drink-330ml
Lipton Ice Tea Lemon 500ml,£1.85,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/lipton-ice-tea-lemon-500ml-8021719-p-44
Irn-Bru Soft Drink 500ml,£1.90,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/irn-bru-500ml-2765136-p
Orangina Sparkling Juice Drink 420ml,£1.70,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/orangina-420ml
Cadbury Creamy Chocolate Milkshake 250ml,£1.25,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-creamy-chocolate-milkshake-250ml
Capri Sun Orange 330ml,£1.35,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/capri-sun-orange-330ml
Red Bull Energy Drink 355ml,£2.25,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/red-bull-energy-355ml
Plenish Organic Ginger Immunity 60ml,£2.00,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/plenish-organic-ginger-ninja-ginger-apple-cider-vinegar-60ml
Monster Energy Drink Mango Loco 500ml,£1.95,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/monster-mango-loco-500ml
Monster Energy Drink Ultra Fiesta Mango 500ml,£1.90,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/monster-energy-ultra-fiesta-500ml
innocent Juicy Water with Bubbles Raspberry & Blackcurrant 330ml,£1.80,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/innocent-bubbles-sparkling-apple---berry-drink-330ml
Naked Blue Machine Super Smoothie 300ml,£2.60,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/naked-blue-machine-blueberry-smoothie-300ml
Ufit White Chocolate Flavour High Protein Milkshake 330ml,£2.00,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/ufit-white-chocolate-flavour-high-protein-milkshake-330ml
Highland Spring Still Spring Water 1 Litre,£1.20,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/highland-spring-still-spring-water-1-litre
Trip CBD Infused Peach Ginger 250ml,£2.00,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/trip-cbd-infused-peach-ginger-250ml
Red Bull Energy Drink Sugar Free 355ml,£2.00,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/red-bull-sugarfree--energy-drink-355ml--7902708-p
Trip CBD Infused Elderflower Mint 250ml,£2.00,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/trip-cbd-infused-elderflower-mint-250ml
Up & Go Breakfast Shake Vanilla 300ml,£1.25,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/up-go-breakfast-shake-vanilla-300ml
Naked Green Machine Super Smoothie 300ml,£2.60,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/naked-green-machine-apple-kiwi-smoothie-300ml
"innocent Invigorate Kiwi, Cucumber & Matcha Super Smoothie with Vitamins 330ml",£2.50,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/innocent-invigorate-super-smoothie-300ml
Vita Coco The Original Coconut Water 500ml,£2.50,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/vita-coco-the-original-coconut-water-500ml
Coca-Cola Zero Sugar 330ml,£1.10,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/coke-zero-330ml
Buxton Still Natural Mineral Water Sports Cap 1L,£1.55,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/buxton-1l-pfs
San Pellegrino Lemon 330ml,£1.30,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/san-pellegrino-lemon-330ml
Cadbury Creamy Chocolate Caramel Flavour Milkshake 250ml,£1.25,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-creamy-chocolate-caramel-flavour-milkshake-250ml
Glacéau Smartwater 600ml,£1.40,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/glaceau-smartwater-600ml
innocent Plus Wonder Green Apple & Pear Juice with Vitamins 330ml,£2.30,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/innocent-wonder-green-juice-330ml
Starbucks Grande Cup Caramel Macchiato Flavour Chilled Coffee 330ml,£2.80,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/starbucks-grande-cup-caramel-macchiato-flavour-chilled-coffee-330ml
Pepsi Max No Sugar Cola Can 330ml,£1.20,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/pepsi-max-330ml
Highland Spring Eco Bottle Sparkling Water 500ml,£1.00,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/highland-spring-eco-bottle-sparkling-water-500ml
Lucozade Zero Pink Lemonade 500ml,£1.85,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/lucozade-zero-pink-lemonade-500ml
Red Bull Energy Drink Sugar Free 473ml,£2.50,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/red-bull-sugarfree-473ml
Emmi Caffe Latte Skinny Iced Coffee 370ml,£2.65,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/emmi-mr-big-skinny-caff%C3%A8-latte-370ml
"Innocent Smoothie Tropical Defence Mango, Coconut Milk & Apple with Vitamins 300ml",£2.50,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/innocent-tropical-defence-mango-coconut-milk-apple-ginger-cultures-with-vitamins-300ml
Coca-Cola Original Taste 330ml,£1.30,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/coca-cola-original-taste-330ml
Pepsi Max Lime No Sugar Cola Bottle 500ml,£1.90,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/pepsi-max-lime-no-sugar-cola-bottle-500ml
Vimto Energy Natural Caffeine with Real Fruit Juice 500ml,£1.40,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/vimto-energy-natural-caffeine-with-real-fruit-juice-500ml
Naked Gold Machine Passionfruit Mango & Guava Super Smoothie 300ml,£2.60,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/naked-gold-machine-passion-fruit-mango-guava-super-smoothie-300ml
Muller Frijj Cookie Dough Milkshake,£1.50,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/muller-frijj-cookie-dough-milkshake
Rubicon Sparkling Mango Juice Soft Drink 500ml,£1.90,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/rubicon-sparkling-mango-juice-drink-500ml
Red Bull Energy Drink Coconut Edition 250ml,£1.75,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/red-bull-coconut-berry-edition-250ml
Get More Vits B Vitamins Still Apple & Raspberry Drink 500ml,£1.50,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/get-more-vits-b-vitamins-still-apple-raspberry-drink-500ml
Vit Hit Detox Mandarin Green Tea + Vitamins 500ml,£1.70,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/vit-hit-detox-mandarin-green-tea-vitamins-500ml
innocent Revitalise Raspberry Cranberry & Apple Super Smoothie with Vitamins 300ml,£2.50,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/innocent-super-smoothie-revitalise-raspberry-cranberry-pomegranate-apple-with-vitamins-300ml
Monster Energy Drink Zero Sugar 500ml,£1.90,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/monster-energy-zero-sugar-500ml
Robinsons Ready To Drink Blackberry & Blueberry Juice Drink 500ml,£1.55,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/robinsons-ready-to-drink-blackberry-blueberry-juice-drink-500ml
Harry Brompton's London Ice Tea Brewed Black Tea with Peach 500ml,£1.65,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/harry-bromptons-london-ice-tea-black-tea-with-peach-500ml
Monster Energy Drink Ultra Rosa Zero Sugar 500ml,£1.90,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/monster-energy-ultra-rosa-500ml
Red Bull Energy Drink Zero 250ml,£1.65,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/red-bull-zero-250ml-7684260-p-44
Pepsi Max Mango No Sugar Cola Bottle 500ml,£1.90,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/pepsi-max-mango-no-sugar-cola-bottle-500ml
Shaken Udder White Chocolate Milkshake 330ml,£1.70,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/shaken-udder-white-choc-milkshake-330ml
Biotiful Gut Health Strawberry Kefir High Protein Drink 330ml,£2.00,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/biotiful-gut-health-strawberry-kefir-protein-drink-330ml
Costa Coffee Caramel Latte Iced Coffee 330ml,£1.75,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/costa-coffee-caramel-latte-iced-coffee-330ml
Coca-Cola Zero Sugar Lemon 500ml,£1.75,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/coca-cola-zero-sugar-lemon-500ml
JUICEBURS Apple 500ml,£1.95,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/juiceburst%E2%84%A2-apple-500ml
Shaken Udder Double Choc Milkshake 330ml,£1.70,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/shaken-udder-double-choc-milkshake-330ml
Coca-Cola Zero Sugar Cherry 500ml,£1.75,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/coca-cola-zero-sugar-cherry-500ml
Costa Coffee Latte Iced Coffee 330ml,£1.75,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/costa-coffee-latte-iced-coffee-330ml
Robinsons Ready To Drink Peach & Mango Juice Drink 500ml,£1.40,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/robinsons-ready-to-drink-peach-mango-juice-drink-500ml
Volvic Touch of Fruit Sugar Free Summer Fruits Flavoured Water 750ml,£1.80,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/volvic-touch-of-fruit-summer-fruits-75cl
Pepsi 500ml,£1.90,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/pepsi-500ml-8208975-p-44
Monster Energy Lewis Hamilton Zero Sugar 500ml,£1.90,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/monster-energy-lewis-hamilton-zero-sugar-500ml
Volvic Touch of Fruit Lemon & Lime Flavoured Water 750ml,£1.80,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/volvic-touch-of-fruit-lemon-lime-flavoured-water-750ml
C4 Performance Cosmic Rainbow Energy Drink 500ml,£1.85,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/c4-performance-cosmic-rainbow-energy-drink-500ml
Twinings Refresh Juicy Raspberry Lemonade with Hibiscus 250ml,£1.90,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/twinings-refresh-juicy-raspberry-lemonade-with-hibiscus-250ml
Biotiful Gut Health Kefir Chocolate High Protein Drink 330ml,£2.00,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/biotiful-gut-health-kefir-chocolate-protein-drink-330ml
Innocent Apple & Raspberry Juice 330ml,£1.90,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/innocent-apple-raspberry-juice-330ml
Neo Wtr British Spring Water 500ml,£1.15,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/neo-wtr-british-spring-water-12-x-500ml
"Red Bull Forest Fruits Energy Drink, the Pink Edition",£2.20,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/red-bull-energy-drink-forest-fruits-pink-edition-355ml
Innocent Citrus Shield 330ml,£2.30,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/innocent-citrus-shield-330ml
Pepsi Max Cherry No Sugar Cola Can 330ml,£1.20,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/pepsi-max-cherry-no-sugar-cola-can-330ml
Starbucks Frappuccino Caramel Flavoured Milk Iced Coffee No Added Sugar 250ml,£2.20,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/starbucks-frappuccino-caramel-flavoured-milk-iced-coffee-no-added-sugar-250ml
Plenish Mango Sunshine 60ml,£2.00,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/plenish-mango-sunshine-60ml
