sku,name,url,price,img_url,description,allegens,weight,cals,fat_level,sat_level,sugar_level,salt_level,rating,Energy,Fat,Saturates,Mono_unsaturates,Polyunsaturates,Carbohydrate,Sugars,Starch,Fibre,Protein,Salt
7798864,Sainsbury's Chicken & Maple Cured Bacon Sandwich,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-chicken-maple-cured-bacon-sandwich,3.00,https://assets.sainsburys-groceries.co.uk/gol/7798864/1/640x640.jpg,"Chicken breast, black pepper mayonnaise and beechwood smoked bacon on malted bread","{'Egg', 'Barley', 'Mustard', 'Wheat'}",183.7837838,408,MEDIUM,MEDIUM,LOW,MEDIUM,4,408,13.4,3.3,6.4,2.9,40.3,4.4,35.9,3.1,30,1.36
7798851,Sainsbury's Chicken Salad Sandwich,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-chicken-salad-sandwich,3.00,https://assets.sainsburys-groceries.co.uk/gol/7798851/1/640x640.jpg,"Chicken breast, black pepper mayonnaise, tomato, cucumber and lettuce on malted bread","{'Wheat ', 'Egg', 'Mustard', 'Barley', 'Wheat'}",238.5542169,396,MEDIUM,LOW,LOW,MEDIUM,4.1,396,8.1,1.2,4.2,2.4,50.7,4.6,46.1,5,27.5,1.27
7798974,Sainsbury's Bacon & Free Range Egg Sandwich,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-bacon---free-range-egg-sandwich,3.00,https://assets.sainsburys-groceries.co.uk/gol/7798974/1/640x640.jpg,Free range egg mayonnaise and beechwood smoked bacon on malted bread,"{'Egg', 'Barley', 'Mustard', 'Wheat'}",194.5945946,432,MEDIUM,MEDIUM,LOW,MEDIUM,3.4,432,14.6,4.3,6.4,3.1,46.6,5.1,41.5,4.9,26.1,1.46
7847033,"Sainsbury's Brie, Bacon & Chilli Chutney Sandwich",https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-brie-bacon-chilli-chutney-sandwich,3.25,https://assets.sainsburys-groceries.co.uk/gol/7847033/1/640x640.jpg,"Brie, chilli chutney, beechwood smoked bacon, mayonnaise and spinach on malted bread","{'Egg', 'Mustard', 'Milk', 'Barley', 'Wheat'}",223.9382239,580,HIGH,HIGH,MEDIUM,HIGH,4.6,580,25.1,12.3,9.2,3.6,61.2,19.7,41.5,5,25,2.02
7797950,Sainsbury's Chicken & Sweetcorn Sandwich,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-chicken-sweetcorn-sandwich,2.25,https://assets.sainsburys-groceries.co.uk/gol/7797950/1/640x640.jpg,"Chicken breast, sweetcorn and black pepper mayonnaise on malted bread","{'Egg', 'Barley', 'Mustard', 'Wheat'}",194.7368421,370,MEDIUM,LOW,LOW,MEDIUM,4.1,370,9.8,1.4,5,2.9,43.6,5.8,37.8,5.1,24.4,1.13
7958372,Sainsbury's All Day Breakfast Sandwich,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-all-day-breakfast-sandwich,3.00,https://assets.sainsburys-groceries.co.uk/gol/7958372/1/640x640.jpg,"Free range egg, Cumberland sausage, beechwood smoked bacon, tomato sauce and mayonnaise on white bread","{'Milk', 'Egg', 'Mustard', 'Wheat'}",201.7316017,466,MEDIUM,HIGH,LOW,MEDIUM,3.7,466,18,6.7,7.3,3.2,50.3,7.7,42.6,3.4,24,1.54
7799121,Sainsbury's Oakwood Smoked Ham & Cheddar Sandwich,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-oakwood-smoked-ham---cheddar-sandwich,3.00,https://assets.sainsburys-groceries.co.uk/gol/7799121/1/640x640.jpg,"Oak smoked formed ham with added water, medium mature Cheddar cheese and mayonnaise on malted bread","{'Egg', 'Mustard', 'Milk', 'Barley', 'Wheat'}",177.1784232,427,MEDIUM,HIGH,LOW,HIGH,4.2,427,18.8,6.5,8,3.4,39.3,3,36.3,3.7,23.4,1.89
8189220,Sainsbury's Spanish Style Chicken Sandwich,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-summer-chicken-chorizo,2.85,https://assets.sainsburys-groceries.co.uk/gol/8189220/1/640x640.jpg,"Chicken breast, chorizo and seasoned mayonnaise on malted bread","{'Mustard', 'Egg ', 'Milk', 'Barley', 'Wheat'}",180.3278689,440,NutritionLevel.MEDIUM,MEDIUM,LOW,HIGH,4.2,440,18.4,3.2,9.7,4.5,44.1,4.5,39.6,2.5,23.2,2.14
8046562,Sainsbury's On the Go Ham & Cheese Sub Roll,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-on-the-go-ham-cheese-sub-roll,3.00,https://assets.sainsburys-groceries.co.uk/gol/8046562/1/640x640.jpg,"Oak smoked formed ham with added water, medium mature Cheddar cheese and black pepper mayonnaise in a semolina topped sub roll","{'Milk', 'Mustard', 'Wheat', 'Egg'}",194.2386831,472,MEDIUM,HIGH,LOW,HIGH,3.8,472,19.4,6.9,8.1,3.3,49.5,5,44.4,4.1,22.9,2.42
7797598,"Sainsbury's Chicken With Pork, Sage & Onion Stuffing Sandwich",https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-chicken-wth-pork-sage-onion-stuffing-sandwich,3.00,https://assets.sainsburys-groceries.co.uk/gol/7797598/1/640x640.jpg,"Chicken with mayonnaise and pork, sage and onion stuffing on white bread","{'Egg', 'Mustard', 'Wheat'}",189.0410959,414,MEDIUM,LOW,LOW,MEDIUM,4.1,414,16.3,2.6,8.7,4.3,43.7,3.4,40.3,1.9,22.3,1.55
7797561,"Sainsbury's Beef, Horseradish Mayonnaise Sandwich",https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-beef-horseradish-mayonnaise-sandwich,3.25,https://assets.sainsburys-groceries.co.uk/gol/7797561/1/640x640.jpg,"Medium rare British beef, horseradish mayonnaise, rocket and lettuce on white bread","{'Milk', 'Mustard', 'Wheat', 'Egg'}",183.9378238,355,MEDIUM,LOW,LOW,MEDIUM,4.7,355,9.4,1.5,5.2,2.4,44.3,5.5,38.8,2.9,21.9,1.64
