name,price,url
Sainsbury's Oranges,30p,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-oranges
Sainsbury's Conference Pear Single,45p,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-conference-pear-single
Sainsbury's Braeburn Apple Single,35p,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-braeburn-apple-single
Sainsbury's Pink Lady Apple Single,50p,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-pink-lady-apple-single-c
Sainsbury's Royal Gala Apple Single,35p,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-british-royal-gala-apple-single-c
Sainsbury's Granny Smith Apples Single,35p,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-granny-smith-apples-single-c
Sainsbury's Large Kiwi Fruit Single,30p,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-large-kiwi-fruit-single
Sainsbury's Easy Peeler (each),30p,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-easy-peeler-each-
Sainsbury's Dried Apricots 40g,80p,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-apricots-40g
Marmite Rice Cakes 25g,£1.00,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/marmite-rice-cakes-25g
Arla Blueberry High Protein Yogurt 200g,£1.25,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/arla-protein-blueberry-yogurt-200g
Graze Snack Box Oat Boosts Lemon Drizzle Flapjack 50g,£1.20,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/graze-snack-box-lemon-drizzle-flapjack-53g
Graze Snack Box Chilli & Lime Punchy Protein Mixed Nuts 38g,£1.20,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/graze-snack-box-punchy-protein-nuts-35g
Cadbury Starbar Chocolate Bar 49g,£1.05,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-starbar-49g
Graze Snack Box Oat Boosts Cocoa & Vanilla Flapjack 50g,£1.20,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/graze-cocoa---vanilla-protein-flapjack-54g
Cadbury Dairy Milk Chocolate Buttons 40g,£1.05,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-giant-dairy-milk-buttons-bag-40g
Big Hoops Salted Grab Bag Crisps 45g,£1.10,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/hula-hoops-big-hoops-original-potato-rings-50g
NOMO Vegan & Free From Caramel Chocolate Bar 38g,£1.20,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/nomo-vegan-free-from-caramel-chocolate-bar-38g
Mars Caramel Nougat & Milk Chocolate Snack Bar 51g,95p,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/mars-single-bar-58g
Trek Cocoa Oat Protein Flapjack 50g,£1.65,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/trek-cocoa-oat-flapjack-50g
Big Hoops BBQ Beef Grab Bag Crisps 45g,£1.10,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/hula-hoops-big-hoops-bbq-potato-rings-50g
Batchelors Big Super Noodles Pot Chicken Flavour 100g,£1.20,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/batchelors-big-super-noodles-chicken-flavour-100g
Cadbury Crunchie Chocolate Bar Single 40g,£1.05,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-crunchie-bar-40g
Pringles Original Crisps Can 40g,£1.05,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/pringles-original-40g
KIND Dark Chocolate Nuts & Sea Salt Snack Bar 40g,£1.40,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/kind-nuts---spices-dark-chocolate-nuts---sea-salt-bar-40g
Sainsbury's Pistachio Nuts 35g,90p,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-pistachio-nuts-35g
Lindt Lindor Treat Bar 38g,£1.30,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/lindt-lindor-treat-bar-38g
Nik Naks Nice'N'Spicy Grab Bag Crisps 45g,£1.10,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/kp-nik-naks-nice-n-spicy-grab-bag-50g
Maltesers Milk Chocolate & Honeycomb Snack Bag 37g,95p,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/maltesers-standard-bag-37g
Walkers Ready Salted Crisps 45g,£1.10,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/walkers-ready-salted-crisps-45g
"Sainsbury's On the Go Apple, Grape & Strawberry 135g",£1.35,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-ftg-apple-grape-strawberry-135g
Cadbury Boost Chocolate Bar 48.5g,£1.05,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cadbury-boost-glucose
