sku,name,url,price,img_url,description,allegens,weight,cals,fat_level,sat_level,sugar_level,salt_level,rating,Energy,Fat,Saturates,Mono_unsaturates,Polyunsaturates,Carbohydrate,Sugars,Starch,Fibre,Protein,Salt
79,Sainsbury's Oranges,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-oranges,30p,https://assets.sainsburys-groceries.co.uk/gol/79/1/100x100.jpg,Single Orange Class I,set(),,,,,,,3.2,44.0,0.5,,,,9.0,9.0,,,0.9,
6620654,Sainsbury's Conference Pear Single,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-conference-pear-single,45p,https://assets.sainsburys-groceries.co.uk/gol/6620654/1/640x640.jpg,Pears Class I,set(),,,,,,,3.6,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
6617773,Sainsbury's Braeburn Apple Single,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-braeburn-apple-single,35p,https://assets.sainsburys-groceries.co.uk/gol/6617773/1/100x100.jpg,Apple Class I,set(),,,,,,,3.3,1.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0
6617988,Sainsbury's Pink Lady Apple Single,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-pink-lady-apple-single-c,50p,https://assets.sainsburys-groceries.co.uk/gol/6617988/1/640x640.jpg,Apple Class I,set(),,,,,,,4.1,0.0,0.0,,,,0.0,0.0,,,0.0,
6617755,Sainsbury's Royal Gala Apple Single,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-british-royal-gala-apple-single-c,35p,https://assets.sainsburys-groceries.co.uk/gol/6617755/1/100x100.jpg,Apple Class I,set(),,,,,,,3.7,1.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0
7533845,Sainsbury's Granny Smith Apples Single,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-granny-smith-apples-single-c,35p,https://assets.sainsburys-groceries.co.uk/gol/7533845/1/100x100.jpg,Apple Class I,set(),,,,,,,4.1,1.0,0.0,,,,0.0,0.0,,,0.0,
24,Sainsbury's Large Kiwi Fruit Single,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-large-kiwi-fruit-single,30p,https://assets.sainsburys-groceries.co.uk/gol/24/1/640x640.jpg,Kiwi Fruit Class I,set(),,,,,,,3.0,43.0,0.5,,,,8.1,7.8,,,0.9,
7555804,Sainsbury's Easy Peeler (each),https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-easy-peeler-each-,30p,https://assets.sainsburys-groceries.co.uk/gol/7555804/1/640x640.jpg,Easy Peelers Class I,set(),,,,,,,3.9,47.0,0.5,0.1,,,7.3,7.3,,1.0,3.5,0.01
7614744,Sainsbury's Dried Apricots 40g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-apricots-40g,80p,https://assets.sainsburys-groceries.co.uk/gol/7614744/1/640x640.jpg,Partially Rehydrated Dried Apricot,"{' Sulphur Dioxide', 'bold'}",,91kcal,NutritionLevel.LOW,NutritionLevel.LOW,NutritionLevel.HIGH,NutritionLevel.LOW,4.0,91.0,0.5,0.1,0.1,0.1,19.7,14.6,5.1,3.8,1.1,0.01
7197580,Marmite Rice Cakes 25g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/marmite-rice-cakes-25g,£1.00,https://assets.sainsburys-groceries.co.uk/gol/7197580/1/640x640.jpg,Mini Rice Cakes with Marmite Yeast Extract,set(),25.142857142857146,88kcal,,,,,3.0,,,,,,,,,,,
7756822,Arla Blueberry High Protein Yogurt 200g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/arla-protein-blueberry-yogurt-200g,£1.25,https://assets.sainsburys-groceries.co.uk/gol/7756822/1/640x640.jpg,Blueberry Flavoured Strained Yogurt with Sweetener.,set(),,,,,,,4.4,,,,,,,,,,,
